_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan
67d7c10a380fe7c6439e08ca,3739584271,5d0e294f-b483-4ba8-bd53-7f058427f35a,2025-01-13T11:37:00,in transit,2025-01-13T11:37:00,in transit,2025-01-13T11:39:00,in transit,2025-01-13T11:39:00,in transit,2025-01-13T16:14:00,in transit,2025-01-13T16:15:00,in transit,2025-01-13T16:15:00,in transit,2025-01-14T01:58:00,arrival at delivery depot,2025-01-14T01:58:00,arrival at delivery depot,2025-01-14T08:10:00,out for delivery,2025-01-14T08:10:00,out for delivery,2025-01-14T09:42:00,scheduled for delivery,2025-01-14T09:42:00,scheduled for delivery,2025-01-14T14:26:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0a84,TI9107891,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-09T15:08:33,shipment manifested,2025-01-10T18:46:00,in transit,2025-01-10T18:46:00,shipment collected,2025-01-13T15:55:00,in transit,2025-01-14T03:29:45,in transit,2025-01-14T06:26:00,warehouse scan,2025-01-14T08:05:00,out for delivery,2025-01-14T16:42:00,delivery attempted,2025-01-14T16:42:00,delivery attempted,2025-01-14T20:39:00,warehouse scan,2025-01-15T02:22:00,out for delivery,2025-01-15T07:18:00,out for delivery,2025-01-15T12:25:00,delivery attempted,2025-01-15T17:10:06,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0c36,9b721563-2802-44b2-aaea-483197170f84-78731,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-09T16:34:00,shipment manifested,2024-12-09T16:39:00,released by customs. clearance complete.,2024-12-17T00:09:00,warehouse scan,2024-12-17T01:50:00,warehouse scan,2024-12-17T03:40:00,warehouse scan,2024-12-20T06:40:00,in transit,2024-12-23T18:31:00,in transit,2024-12-23T22:07:00,in transit,2024-12-24T23:10:00,delayed due to circumstances beyond our control - corrective action underway,2024-12-31T23:10:00,delayed due to circumstances beyond our control - corrective action underway,2025-01-03T08:33:00,arrival at delivery depot,2025-01-03T09:49:00,out for delivery,2025-01-03T09:49:00,out for delivery,2025-01-03T10:04:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0c51,2909573602,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-09T18:15:00,shipment manifested,2024-12-09T19:14:00,shipment dropped off awaiting carrier collection,2024-12-10T14:24:00,shipment collected,2024-12-10T16:09:00,warehouse scan,2024-12-10T23:12:00,warehouse scan,2024-12-11T06:46:00,arrival scan,2024-12-11T06:46:00,export scan,2024-12-11T06:52:00,export scan,2024-12-11T13:53:00,customs clearance in progress,2024-12-12T22:28:00,arrival at delivery depot,2025-01-02T17:54:00,arrival scan,2025-01-03T21:34:00,arrival at delivery depot,2025-01-06T10:17:00,arrival at delivery depot,2025-01-06T17:38:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0c54,1d00405f-7c90-40b4-8e30-6e85099b51c1-89090,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-09T18:15:00,shipment manifested,2024-12-09T19:14:00,shipment dropped off awaiting carrier collection,2024-12-10T14:24:00,shipment collected,2024-12-10T16:09:00,warehouse scan,2024-12-10T23:12:00,warehouse scan,2024-12-11T06:46:00,arrival scan,2024-12-11T06:46:00,export scan,2024-12-11T06:52:00,export scan,2024-12-11T13:53:00,customs clearance in progress,2024-12-12T22:28:00,arrival at delivery depot,2025-01-02T17:54:00,arrival scan,2025-01-03T21:34:00,arrival at delivery depot,2025-01-06T10:17:00,arrival at delivery depot,2025-01-06T17:38:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0d39,3923462738,5d0e294f-b483-4ba8-bd53-7f058427f35a,2025-01-13T07:36:00,in transit,2025-01-14T11:10:00,in transit,2025-01-16T03:39:00,in transit,2025-01-16T05:36:00,customs clearance in progress,2025-01-16T05:46:00,additional information required for customs clearance,2025-01-16T06:34:00,arrival scan,2025-01-16T06:36:00,customs clearance in progress,2025-01-16T11:09:00,awaiting further instructions,2025-01-16T15:51:00,released by customs. clearance complete.,2025-01-16T19:00:00,arrival at delivery depot,2025-01-17T06:58:00,arrival at delivery depot,2025-01-17T08:53:00,out for delivery,2025-01-17T11:08:00,delivery attempted,2025-01-17T11:08:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0d52,78d52fff-9f4c-452d-b46d-acf0251ec026-46148,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-03T09:34:00,shipment manifested,2024-12-04T12:53:00,shipment collected,2024-12-04T18:06:00,in transit,2024-12-05T00:56:00,warehouse scan,2024-12-05T04:05:00,warehouse scan,2024-12-05T06:30:00,in transit,2024-12-05T13:22:00,arrival scan,2024-12-11T12:51:00,in transit,2024-12-12T10:00:00,additional information required for customs clearance,2024-12-12T15:30:00,arrival at delivery depot,2024-12-20T14:21:00,released by customs. clearance complete.,2024-12-20T16:30:00,arrival at delivery depot,2024-12-23T08:09:00,out for delivery,2024-12-23T10:41:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0dca,3037277149,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-18T04:36:00,export scan,2024-12-19T17:00:00,released by customs. clearance complete.,2024-12-19T18:58:00,arrival at delivery depot,2024-12-20T01:08:00,in transit,2024-12-23T19:49:00,arrival scan,2024-12-24T14:00:00,customs clearance in progress,2024-12-27T23:24:00,arrival at delivery depot,2024-12-27T23:24:00,arrival at delivery depot,2024-12-28T02:24:00,arrival at delivery depot,2024-12-28T02:24:00,arrival at delivery depot,2024-12-31T09:34:00,arrival at delivery depot,2024-12-31T09:34:00,arrival at delivery depot,2025-01-02T19:44:00,delivery attempted,2025-01-02T19:44:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0f09,0dbfcb4a-2d80-44d8-8e26-2408ea2d1548-10646,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-02T14:25:00,shipment manifested,2024-12-02T15:27:00,shipment dropped off awaiting carrier collection,2024-12-03T15:57:00,shipment collected,2024-12-03T16:49:00,in transit,2024-12-03T22:25:00,warehouse scan,2024-12-04T00:00:00,in transit,2024-12-04T00:14:00,package relabelled,2024-12-04T00:15:00,warehouse scan,2024-12-04T08:36:00,export scan,2024-12-04T09:38:00,in transit,2024-12-05T00:01:00,arrival scan,2024-12-05T08:50:00,in transit,2024-12-20T03:33:00,arrival scan,2024-12-27T05:48:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439e2d9b,TI2242747,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-20T13:48:00,in transit,2024-12-20T13:48:00,shipment collected,2024-12-20T17:47:00,in transit,2024-12-20T19:33:56,shipment manifested,2024-12-20T23:29:00,in transit,2024-12-21T03:33:00,warehouse scan,2024-12-21T03:35:00,out for delivery,2024-12-23T10:37:00,delivery attempted,2024-12-23T10:37:00,delivery attempted,2024-12-24T00:05:00,out for delivery,2024-12-24T09:52:00,delivery attempted,2024-12-27T05:06:00,warehouse scan,2024-12-27T05:09:00,out for delivery,2024-12-27T08:08:00,out for delivery,2024-12-27T09:37:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
