_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan
67d7c109380fe7c6439cedf0,6207000004,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-17T12:54:13,shipment collected,2025-01-17T19:32:05,in transit,2025-01-17T19:34:58,in transit,2025-01-18T01:21:29,in transit,2025-01-18T10:11:41,customs clearance in progress,2025-01-18T13:36:14,customs clearance in progress,2025-01-18T17:14:54,in transit,2025-01-18T17:27:55,processed for clearance,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439cf2a9,3572266106,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-02T10:57:15,customs clearance in progress,2025-01-02T12:08:56,shipment collected,2025-01-02T19:37:07,in transit,2025-01-02T19:37:58,in transit,2025-01-04T06:29:28,in transit,2025-01-04T10:57:10,customs clearance in progress,2025-01-07T08:38:20,in transit,2025-01-07T13:10:08,processed for clearance,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439cf2c8,4241016216,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-06T10:50:07,shipment collected,2025-01-06T19:01:25,customs clearance in progress,2025-01-06T20:33:14,in transit,2025-01-06T20:40:58,in transit,2025-01-07T16:37:33,in transit,2025-01-08T09:06:54,customs clearance in progress,2025-01-08T10:31:06,in transit,2025-01-08T10:37:28,processed for clearance,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439cf73e,JD014600011923003203,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T12:48:51,shipment collected,2024-12-30T22:35:44,in transit,2024-12-30T22:36:58,in transit,2024-12-31T08:34:58,in transit,2025-01-01T11:56:26,shipment on hold,2025-01-02T01:45:19,in transit,2025-01-02T01:45:48,in transit,2025-01-02T05:29:56,in transit,2025-01-02T06:00:27,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d028b,8432536346,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-03T15:27:55,shipment collected,2025-01-03T23:11:32,in transit,2025-01-04T00:32:58,in transit,2025-01-05T01:12:27,customs clearance in progress,2025-01-05T09:43:58,in transit,2025-01-05T11:42:08,customs clearance in progress,2025-01-05T14:25:33,in transit,2025-01-05T17:32:20,customs clearance in progress,2025-01-05T17:32:20,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d0586,1686392271,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-14T13:26:25,shipment collected,2025-01-14T20:14:57,in transit,2025-01-14T20:15:58,in transit,2025-01-15T06:50:58,in transit,2025-01-15T13:06:04,customs clearance in progress,2025-01-15T13:08:05,customs clearance in progress,2025-01-15T13:24:06,customs clearance in progress,2025-01-15T19:46:48,in transit,2025-01-15T20:06:59,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d0bd3,JD014600011916006170,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-24T11:21:34,shipment collected,2024-12-24T15:55:52,in transit,2024-12-24T16:03:58,in transit,2024-12-24T17:50:41,in transit,2024-12-24T21:41:17,shipment on hold,2024-12-26T20:52:48,in transit,2024-12-26T21:29:58,in transit,2025-01-02T19:12:19,in transit,2025-01-02T19:18:12,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d0bfc,1850471291,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-24T11:21:34,shipment collected,2024-12-24T15:55:52,in transit,2024-12-24T16:03:58,in transit,2024-12-24T17:50:41,in transit,2024-12-24T21:41:17,shipment on hold,2024-12-26T20:52:48,in transit,2024-12-26T21:29:58,in transit,2025-01-02T19:12:19,in transit,2025-01-02T19:18:12,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d0d74,9892948295,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-24T15:28:56,shipment collected,2024-12-24T20:21:25,in transit,2024-12-25T06:17:14,in transit,2024-12-25T22:10:40,in transit,2024-12-26T02:17:07,shipment on hold,2024-12-28T07:25:01,in transit,2024-12-28T13:00:02,in transit,2024-12-29T14:28:32,in transit,2024-12-29T15:51:20,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d1cba,5768842026,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-02T16:02:30,shipment collected,2025-01-02T22:24:19,in transit,2025-01-02T23:28:33,in transit,2025-01-03T06:56:58,in transit,2025-01-03T12:31:17,customs clearance in progress,2025-01-03T12:43:39,customs clearance in progress,2025-01-03T20:55:22,customs clearance in progress,2025-01-03T22:15:22,in transit,2025-01-03T23:15:44,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d231e,JD014600011936656521,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-07T19:28:59,shipment collected,2025-01-07T22:07:59,in transit,2025-01-07T22:08:58,in transit,2025-01-09T02:27:39,in transit,2025-01-09T07:46:02,shipment on hold,2025-01-09T11:50:36,in transit,2025-01-09T11:59:58,in transit,2025-01-10T03:34:10,in transit,2025-01-10T03:54:30,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d2797,3571921430,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-14T10:45:32,customs clearance in progress,2025-01-16T12:24:27,shipment collected,2025-01-16T12:50:50,customs clearance in progress,2025-01-16T13:31:22,customs clearance in progress,2025-01-16T18:13:46,in transit,2025-01-16T18:25:58,in transit,2025-01-20T06:35:46,in transit,2025-01-20T06:51:07,customs clearance in progress,2025-01-20T06:51:07,processed for clearance,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d2a31,4267987920,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-30T12:05:47,shipment collected,2024-10-30T17:50:57,in transit,2024-10-30T18:21:58,in transit,2024-11-01T09:04:14,in transit,2024-11-01T11:02:48,shipment on hold,2024-11-01T11:12:48,in transit,2024-11-02T14:31:56,in transit,2024-11-02T16:20:00,in transit,2024-11-02T16:30:00,processed for clearance,,,,,,,,,,,,,,,,,,,,
