_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan
67d7c10b380fe7c6439e7c64,1ZE408F66817550670,0bb863db-1a5d-4688-8212-a842ab236726,2024-08-29T13:10:03,shipment manifested,2024-08-30T08:29:00,shipment dropped off awaiting carrier collection,2024-08-30T08:29:29,shipment dropped off awaiting carrier collection,2024-08-30T10:26:38,shipment collected,2024-08-30T17:20:16,in transit,2024-08-30T18:25:00,in transit,2024-09-03T05:49:04,in transit,2024-09-18T17:32:04,final delivery attempt. shipment to be returned.,2024-09-19T17:48:00,in transit,2024-09-19T17:48:00,in transit,2024-09-20T00:03:00,in transit,2024-09-20T00:03:00,in transit,2024-09-20T02:18:00,in transit,2024-09-20T04:45:00,in transit,2024-09-20T06:00:00,in transit,2024-09-20T06:00:00,in transit,2024-09-20T09:49:13,package abandoned by sender,,,,,,,,,,,,
67d7c10b380fe7c6439e870d,1Z61A84F0421131159,0bb863db-1a5d-4688-8212-a842ab236726,2024-11-27T18:06:48,shipment manifested,2024-11-28T19:23:00,shipment dropped off awaiting carrier collection,2024-11-28T19:23:42,shipment dropped off awaiting carrier collection,2024-11-29T22:37:28,additional information required for customs clearance,2024-12-02T17:14:48,in transit,2024-12-02T19:50:00,in transit,2024-12-02T21:16:00,in transit,2024-12-02T22:16:00,export scan,2024-12-02T22:46:00,in transit,2024-12-03T00:02:00,in transit,2024-12-04T03:00:00,in transit,2024-12-04T07:15:59,customs clearance in progress,2024-12-05T09:40:05,warehouse scan,2024-12-06T08:43:16,warehouse scan,2024-12-11T09:26:27,warehouse scan,2024-12-12T09:40:43,carrier to contact sender or receiver,2024-12-12T09:40:43,additional information required for customs clearance,2024-12-12T09:55:00,package abandoned by sender,,,,,,,,,,
67d7c10b380fe7c6439e941d,1ZE408F66817550670,0bb863db-1a5d-4688-8212-a842ab236726,2024-08-29T13:10:03,shipment manifested,2024-08-30T08:29:00,shipment dropped off awaiting carrier collection,2024-08-30T08:29:29,shipment dropped off awaiting carrier collection,2024-08-30T10:26:38,shipment collected,2024-08-30T17:20:16,in transit,2024-08-30T18:25:00,in transit,2024-09-03T05:49:04,in transit,2024-09-18T17:32:04,final delivery attempt. shipment to be returned.,2024-09-19T17:48:00,in transit,2024-09-19T17:48:00,in transit,2024-09-20T00:03:00,in transit,2024-09-20T00:03:00,in transit,2024-09-20T02:18:00,in transit,2024-09-20T04:45:00,in transit,2024-09-20T06:00:00,in transit,2024-09-20T06:00:00,in transit,2024-09-20T09:49:13,package abandoned by sender,2024-09-20T09:49:13,package abandoned by sender,,,,,,,,,,
67d7c10c380fe7c6439edcf7,1Z7E524X0495299619,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-19T13:26:25,shipment manifested,2024-12-19T14:18:00,shipment dropped off awaiting carrier collection,2024-12-19T14:18:19,shipment dropped off awaiting carrier collection,2024-12-19T16:52:31,shipment collected,2024-12-19T17:41:28,in transit,2024-12-19T18:40:00,in transit,2024-12-19T20:48:00,in transit,2024-12-19T21:09:20,export scan,2024-12-19T22:25:00,in transit,2024-12-19T23:50:00,in transit,2024-12-22T23:42:24,in transit,2024-12-23T01:32:12,additional information required for customs clearance,2024-12-23T07:28:44,warehouse scan,2024-12-25T08:35:38,warehouse scan,2024-12-27T08:34:20,warehouse scan,2024-12-28T01:34:36,additional information required for customs clearance,2024-12-28T01:37:46,internal activity scan,2024-12-30T07:42:28,warehouse scan,2025-01-02T09:03:14,warehouse scan,2025-01-09T09:03:35,warehouse scan,2025-01-10T10:55:11,customs clearance in progress,2025-01-13T07:43:54,warehouse scan,2025-01-14T08:25:16,package abandoned by sender
