_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan
67d7c10b380fe7c6439eb060,3316187c-cbea-45ca-97a8-29eb9fac485c-95878,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-10-15T20:00:59,shipment manifested,2024-10-16T13:56:00,shipment collected,2024-10-16T16:51:00,in transit,2024-10-16T16:51:00,in transit,2024-10-16T20:09:00,warehouse scan,2024-10-17T02:21:00,in transit,2024-10-17T03:31:00,in transit,2024-10-17T04:23:00,in transit,2024-10-17T12:00:00,warehouse scan,2024-10-17T14:22:00,in transit,2024-10-17T16:06:00,in transit,2024-10-17T19:25:00,warehouse scan,2024-10-18T02:43:00,in transit,2024-10-18T03:28:00,in transit,2024-10-19T02:27:00,in transit,2024-10-19T09:26:00,warehouse scan,2024-10-19T09:49:00,in transit,2024-10-20T17:09:00,in transit,2024-10-20T17:09:00,in transit,2024-10-20T17:38:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb1b6,ea7d42d0-16e8-47c8-9c34-1a6cd6db320e-18874,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-30T23:45:00,in transit,2025-01-02T02:40:00,in transit,2025-01-02T14:10:00,in transit,2025-01-02T15:00:00,warehouse scan,2025-01-02T16:42:00,in transit,2025-01-03T02:42:00,in transit,2025-01-03T11:08:00,in transit,2025-01-04T14:02:00,warehouse scan,2025-01-05T12:01:00,in transit,2025-01-05T17:22:00,in transit,2025-01-05T17:22:00,in transit,2025-01-06T00:35:00,warehouse scan,2025-01-06T00:35:00,warehouse scan,2025-01-06T11:30:00,in transit,2025-01-06T11:30:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:26:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb1bf,ab4ba8ad-5357-4024-ae0b-09877e25b430-44809,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-23T12:59:29,shipment manifested,2024-12-30T14:30:00,shipment collected,2024-12-30T18:11:00,in transit,2024-12-30T20:28:00,warehouse scan,2024-12-30T22:53:00,in transit,2024-12-30T22:53:00,released by customs. clearance complete.,2024-12-30T23:45:00,in transit,2025-01-02T14:10:00,in transit,2025-01-02T15:00:00,warehouse scan,2025-01-02T15:35:00,in transit,2025-01-02T17:16:00,in transit,2025-01-03T11:11:00,in transit,2025-01-04T14:02:00,warehouse scan,2025-01-05T12:01:00,in transit,2025-01-05T17:17:00,in transit,2025-01-06T00:35:00,warehouse scan,2025-01-06T11:30:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:26:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb1fa,e30a8fd8-b5a4-4220-93ca-6a136aeb7ed5-57441,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-30T23:45:00,in transit,2025-01-02T02:40:00,in transit,2025-01-02T14:10:00,in transit,2025-01-02T15:00:00,warehouse scan,2025-01-02T15:32:00,in transit,2025-01-02T17:18:00,in transit,2025-01-03T11:04:00,in transit,2025-01-04T14:02:00,warehouse scan,2025-01-05T12:01:00,in transit,2025-01-05T17:29:00,in transit,2025-01-05T17:29:00,in transit,2025-01-06T00:35:00,warehouse scan,2025-01-06T00:35:00,warehouse scan,2025-01-06T11:30:00,in transit,2025-01-06T11:30:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:05:00,in transit,2025-01-07T05:26:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb303,d3d4f2e0-993d-47d9-a722-24ce32256dd7-79301,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-02T22:24:39,shipment manifested,2024-12-03T11:42:00,shipment dropped off awaiting carrier collection,2024-12-03T14:28:00,shipment collected,2024-12-03T19:07:00,in transit,2024-12-03T22:14:00,warehouse scan,2024-12-03T23:21:00,in transit,2024-12-03T23:21:00,released by customs. clearance complete.,2024-12-04T02:31:00,in transit,2024-12-04T03:12:00,in transit,2024-12-07T07:46:00,in transit,2024-12-07T19:57:00,warehouse scan,2024-12-08T22:42:00,in transit,2024-12-09T18:31:00,customs clearance delay,2024-12-09T20:35:00,in transit,2024-12-09T20:35:00,in transit,2024-12-09T20:46:00,in transit,2024-12-09T20:46:00,in transit,2024-12-09T23:18:00,in transit,2024-12-09T23:18:00,in transit,2024-12-10T06:49:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb37b,c23b1a2a-deb2-460f-bcdd-d4cf800770d5-77351,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-02T14:20:28,shipment manifested,2025-01-02T14:41:00,shipment dropped off awaiting carrier collection,2025-01-03T15:48:00,shipment collected,2025-01-03T16:57:00,in transit,2025-01-03T16:57:00,in transit,2025-01-03T20:35:00,warehouse scan,2025-01-04T00:25:00,in transit,2025-01-04T06:23:00,in transit,2025-01-04T06:27:00,in transit,2025-01-04T06:37:00,warehouse scan,2025-01-04T13:32:00,in transit,2025-01-05T08:38:00,in transit,2025-01-05T19:57:00,in transit,2025-01-06T20:45:00,warehouse scan,2025-01-07T19:29:00,in transit,2025-01-07T20:13:00,in transit,2025-01-08T16:24:00,in transit,2025-01-08T18:07:00,customs clearance delay,2025-01-09T21:45:00,delivered,2025-01-09T21:49:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb3b3,88e0cd95-3386-4d0e-b897-4a983c00b82d-43534,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-08T14:23:02,shipment manifested,2024-12-09T06:45:00,customs clearance delay,2024-12-09T16:49:00,shipment collected,2024-12-09T20:25:00,in transit,2024-12-10T17:34:00,warehouse scan,2024-12-11T11:29:00,customs clearance delay,2024-12-11T17:41:00,in transit,2024-12-11T18:02:00,in transit,2024-12-11T18:39:00,in transit,2024-12-17T19:12:00,customs clearance delay,2024-12-17T22:09:00,in transit,2024-12-17T22:09:00,in transit,2024-12-17T22:24:00,in transit,2024-12-17T22:24:00,in transit,2024-12-18T15:29:00,in transit,2024-12-18T15:29:00,in transit,2024-12-18T15:30:00,warehouse scan,2024-12-18T15:30:00,warehouse scan,2024-12-18T15:42:00,customs clearance delay,2024-12-18T15:42:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb578,e2177160-cd0b-4781-baf6-adb8bf7a2f42-72626,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-09-23T18:31:30,shipment manifested,2024-09-23T18:33:00,shipment dropped off awaiting carrier collection,2024-09-24T14:58:00,shipment collected,2024-09-24T17:36:00,in transit,2024-09-25T16:43:00,in transit,2024-09-25T17:56:00,in transit,2024-09-27T01:30:00,warehouse scan,2024-09-27T02:55:00,warehouse scan,2024-09-28T02:50:00,warehouse scan,2024-09-28T21:44:00,in transit,2024-09-28T21:49:00,in transit,2024-09-30T10:15:00,in transit,2024-09-30T20:29:00,in transit,2024-09-30T20:34:00,in transit,2024-09-30T20:34:00,in transit,2024-09-30T21:46:00,warehouse scan,2024-09-30T21:46:00,warehouse scan,2024-09-30T21:47:00,in transit,2024-09-30T21:47:00,in transit,2024-10-01T05:10:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb85b,1Z7E524X0497765530,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-08T22:30:00,in transit,2025-01-08T23:43:00,in transit,2025-01-09T03:00:00,in transit,2025-01-09T08:12:00,delay due to adverse weather conditions,2025-01-09T10:10:00,in transit,2025-01-09T11:39:29,in transit,2025-01-09T12:42:18,in transit,2025-01-09T13:04:19,new instructions received - we updated the delivery information for your package,2025-01-09T13:40:18,shipment on hold after request,2025-01-09T14:48:06,new instructions received - we updated the delivery information for your package,2025-01-10T02:14:00,in transit,2025-01-10T02:35:00,in transit,2025-01-10T10:05:45,in transit,2025-01-10T10:45:36,out for delivery,2025-01-10T14:23:12,out for delivery,2025-01-10T14:23:12,out for delivery,2025-01-10T15:37:25,delivered,2025-01-10T15:37:25,delivered,2025-01-10T16:06:22,rescheduled delivery due to updated address,2025-01-10T16:06:22,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439eb8a6,7c984a0f-d53e-442f-a2eb-740650c623c3-51037,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-09-24T16:18:00,shipment manifested,2024-09-25T12:38:00,shipment collected,2024-09-25T15:59:00,in transit,2024-09-25T16:49:00,in transit,2024-09-25T17:02:00,in transit,2024-09-26T10:02:00,in transit,2024-09-27T08:03:00,customs clearance in progress,2024-09-28T08:05:00,customs clearance in progress,2024-09-29T17:21:00,in transit,2024-10-05T08:11:00,customs clearance in progress,2024-10-05T08:11:00,customs clearance in progress,2024-10-11T07:28:00,customs clearance in progress,2024-10-11T07:28:00,customs clearance in progress,2024-10-12T07:17:00,customs clearance in progress,2024-10-13T18:38:00,customs clearance in progress,2024-10-15T07:41:00,customs clearance in progress,2024-10-16T07:15:00,customs clearance in progress,2024-10-16T07:15:00,customs clearance in progress,2024-10-16T19:22:00,customs clearance delay,2024-10-16T19:22:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
