_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan
67d7c107380fe7c6439a90ab,H00FFA0003190219,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-31T14:50:48,shipment manifested,2025-01-03T18:40:59,shipment dropped off awaiting carrier collection,2025-01-04T13:45:14,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90af,H00FRA0002176212,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-26T10:40:46,shipment manifested,2024-12-27T07:37:00,collection scheduled,2024-12-27T15:07:15,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90b6,3072655485,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-17T22:47:00,shipment manifested,2024-12-20T18:03:00,shipment dropped off awaiting carrier collection,2024-12-21T09:40:00,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90b7,3235392777,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-19T14:21:00,shipment manifested,2024-12-23T13:56:00,shipment dropped off awaiting carrier collection,2024-12-23T15:14:00,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90be,H00FFA0003197580,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-08T10:36:58,shipment manifested,2025-01-09T07:54:00,collection scheduled,2025-01-09T13:57:17,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90bf,H00FRA0002180273,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T20:48:41,shipment manifested,2024-12-31T11:28:33,shipment dropped off awaiting carrier collection,2024-12-31T13:30:20,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90c3,99d0121e-a1dc-4802-9303-7acfffc1541d-43663,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-26T14:42:35,shipment manifested,2025-01-01T17:11:00,shipment dropped off awaiting carrier collection,2025-01-02T13:08:00,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90c7,H00FFA0003193493,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T10:00:48,shipment manifested,2025-01-04T14:30:03,shipment dropped off awaiting carrier collection,2025-01-06T16:02:09,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90c8,9587fc46-903e-4445-adc3-922d6e931aa6-73272,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-17T22:47:00,shipment manifested,2024-12-20T18:03:00,shipment dropped off awaiting carrier collection,2024-12-21T09:40:00,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439a90d2,H00FRA0002182001,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T11:09:00,shipment manifested,2025-01-02T11:31:16,shipment dropped off awaiting carrier collection,2025-01-02T11:47:52,shipment collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10c380fe7c6439f0629,3700879955,5d0e294f-b483-4ba8-bd53-7f058427f35a,2025-01-06T11:13:00,in transit,2025-01-06T12:25:00,in transit,2025-01-08T13:22:00,in transit,2025-01-09T23:09:00,arrival at delivery depot,2025-01-10T14:57:00,arrival at delivery depot,2025-01-13T10:55:00,out for delivery,2025-01-13T10:55:00,arrival at delivery depot,2025-01-13T11:01:00,delivery attempted,2025-01-13T12:01:00,delivery attempted,2025-01-13T14:11:00,delivery attempted,2025-01-14T08:21:00,arrival at delivery depot,2025-01-14T08:53:00,out for delivery,2025-01-14T08:53:00,out for delivery,2025-01-14T11:32:00,delivery rescheduled,2025-01-14T11:32:00,delivery rescheduled,2025-01-14T12:32:00,delivery attempted,2025-01-14T12:32:00,delivery attempted,2025-01-14T12:32:00,delivery attempted,2025-01-14T13:45:00,scheduled for delivery,2025-01-14T13:45:00,scheduled for delivery,2025-01-14T13:45:00,scheduled for delivery,2025-01-14T14:53:00,delivery attempted,2025-01-14T14:53:00,delivery attempted,2025-01-14T14:53:00,delivery attempted,2025-01-15T09:33:00,shipment ready for collection from pick-up point,2025-01-15T09:33:00,shipment ready for collection from pick-up point,2025-01-15T09:33:00,shipment ready for collection from pick-up point,2025-01-16T08:36:00,shipment collected,2025-01-16T08:36:00,shipment collected,2025-01-16T08:36:00,shipment collected
