_id,tracking_number,carrier,scans[0].timestamp,scans[1].timestamp,scans[0].scan,scans[1].scan
67d7c107380fe7c6439a2469,H00FRA0002176705,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T12:34:15.000Z,2024-12-27T13:48:36.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a246d,H00FRA0002182823,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T15:08:08.000Z,2025-01-02T15:33:27.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a246f,1Z7E524X0497557345,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T12:45:29.000Z,2024-12-27T14:36:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2473,H00FRA0002181477,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-01T12:06:27.000Z,2025-01-01T12:33:40.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2474,H00FRA0002181489,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-01T12:09:16.000Z,2025-01-01T12:50:18.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2475,H00FRA0002181504,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-01T13:11:53.000Z,2025-01-02T10:18:01.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2476,8f43a76f-df03-4e68-bddb-0fcee58d8c10-25056,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-27T12:35:49.000Z,2024-12-27T12:46:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2478,H00FRA0002176868,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T13:15:55.000Z,2024-12-27T14:44:48.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2479,1Z61A84F0408809783,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T13:13:29.000Z,2024-12-27T14:04:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a247a,H00FRA0002182758,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T14:14:23.000Z,2025-01-02T14:52:14.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a247b,H00FRA0002176907,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T14:05:47.000Z,2024-12-28T10:53:59.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a247c,a64b5575-85a6-4377-9453-912afbab44f3-49445,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-01T13:10:58.000Z,2025-01-02T17:58:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a247e,1Z61A84F0412774446,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T14:05:02.000Z,2024-12-30T10:39:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2480,H00FRA0002181528,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-01T14:08:18.000Z,2025-01-02T13:33:39.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2481,H00FFA0003193645,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T13:27:02.000Z,2025-01-04T14:01:05.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2482,H00FRA0002176919,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T14:20:14.000Z,2024-12-27T14:40:25.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2484,1Z61A84F0411490889,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T14:52:34.000Z,2024-12-27T15:44:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2486,H00FFA0003193657,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T13:39:03.000Z,2025-01-06T16:08:47.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2488,1Z236V396897834453,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-02T15:06:15.000Z,2025-01-02T15:41:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2489,H00FFA0003187250,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T14:58:47.000Z,2024-12-28T14:03:19.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a248b,690598f7-a115-4ccd-99ba-46cebf4e5f95-29849,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-29T13:09:08.000Z,2024-12-30T12:14:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a248c,1Z61A84F0425709920,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T14:56:03.000Z,2024-12-27T17:33:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a248f,H00FRA0002182873,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T15:41:49.000Z,2025-01-03T10:46:20.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2490,42bb4e3b-aea9-4634-802c-6fc72d1b6ed2-62934,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-19T12:53:00.000Z,2024-12-19T13:34:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2492,1Z61A84F0401058660,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T14:33:18.000Z,2024-12-30T10:26:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2495,1Z7E524X0492039020,0bb863db-1a5d-4688-8212-a842ab236726,2024-10-21T14:21:52.000Z,2024-10-21T14:53:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2497,1Z61A84F0414875619,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T13:36:33.000Z,2024-12-27T14:48:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2498,H00FFA0003187096,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T15:53:27.000Z,2024-12-27T16:41:59.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2499,H00FRA0002185449,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T13:47:56.000Z,2025-01-04T14:01:59.000Z,shipment manifested,shipment dropped off awaiting carrier collection
